Date,Open,High,Low,Close,Volume,Daily Change,% Change
06/16/2023,457.73,461.77,456.6,459.17,0,1.4399999999999977,0.3145959408384851
06/15/2023,454.0,458.5059,453.92,455.95,0,1.9499999999999886,0.4295154185022001
06/14/2023,451.41,453.42,448.57,452.55,0,1.1399999999999864,0.2525420349571313
06/13/2023,456.01,456.9699,445.89,452.37,0,-3.6399999999999864,-0.7982281090326936
06/12/2023,462.79,462.87,458.18,459.87,0,-2.920000000000016,-0.6309557250588854
06/09/2023,465.39,465.39,460.39,462.69,0,-2.6999999999999886,-0.5801585766776228
06/08/2023,462.18,466.42,461.46,464.17,0,1.990000000000009,0.4305681769007766
06/07/2023,458.12,463.75,455.01,461.75,0,3.6299999999999955,0.7923688116650649
06/06/2023,456.52,459.34,454.3944,458.63,0,2.1100000000000136,0.46219223692281036
06/05/2023,456.14,456.76,452.48,454.69,0,-1.4499999999999886,-0.31788485991142823
06/02/2023,452.12,456.355,450.555,454.49,0,2.3700000000000045,0.524197115809963
06/01/2023,445.6,450.78,443.4201,449.67,0,4.069999999999993,0.9133752244165155
05/31/2023,444.62,445.93,443.0,444.01,0,-0.6100000000000136,-0.13719580765597894
05/30/2023,448.08,449.05,444.24,447.97,0,-0.1099999999999568,-0.02454918764505374
05/26/2023,442.86,451.77,442.1,448.45,0,5.589999999999975,1.262249920968246
05/25/2023,451.5,451.5,439.7,442.83,0,-8.670000000000016,-1.9202657807309005
05/24/2023,453.24,456.7431,451.18,452.72,0,-0.5199999999999818,-0.11472950313299395
05/23/2023,452.11,456.4,450.0,452.63,0,0.5199999999999818,0.11501625710556762
05/22/2023,454.0,457.365,451.5903,454.72,0,0.7200000000000273,0.15859030837005006
05/19/2023,457.03,458.27,452.86,454.49,0,-2.5399999999999636,-0.5557622037940537
05/18/2023,455.41,456.74,449.4,455.75,0,0.339999999999975,0.07465800048307568
05/17/2023,450.0,458.41,449.94,457.3,0,7.300000000000011,1.622222222222225
05/16/2023,452.09,452.44,447.66,447.73,0,-4.359999999999957,-0.9644097414231584
05/15/2023,450.79,453.35,449.42,451.92,0,1.1299999999999955,0.25067104416690594
05/12/2023,452.8,453.87,447.8,450.79,0,-2.009999999999991,-0.44390459363957396
05/11/2023,450.58,452.2195,448.54,450.69,0,0.11000000000001364,0.0244129788272923
05/10/2023,452.81,453.29,448.71,453.15,0,0.339999999999975,0.0750866809478534
05/09/2023,452.9,453.9099,450.1001,452.04,0,-0.8599999999999568,-0.18988739236033492
05/08/2023,456.49,458.3,450.065,450.96,0,-5.53000000000003,-1.211417555696736
05/05/2023,452.69,457.1,452.08,455.54,0,2.8500000000000227,0.6295699043495598
05/04/2023,453.66,454.04,446.21,451.93,0,-1.7300000000000182,-0.38134285588326455
05/03/2023,458.2,459.4748,452.69,453.07,0,-5.1299999999999955,-1.1195984286337834
05/02/2023,468.38,468.53,457.25,458.89,0,-9.490000000000009,-2.02613262735386
05/01/2023,465.04,471.08,464.55,469.43,0,4.389999999999986,0.9440048167899506
04/28/2023,464.82,466.16,462.395,464.45,0,-0.37000000000000455,-0.07960070564949971
04/27/2023,461.85,466.33,461.15,465.0,0,3.1499999999999773,0.6820396232542985
04/26/2023,473.95,473.95,459.6,461.62,0,-12.329999999999984,-2.60154024686148
04/25/2023,480.7,480.92,475.56,475.58,0,-5.1200000000000045,-1.065113376326192
04/24/2023,482.39,483.53,478.72,480.92,0,-1.4699999999999704,-0.3047326851717429
04/21/2023,491.24,491.2834,480.61,482.55,0,-8.689999999999998,-1.7689927530331402
04/20/2023,495.83,495.83,489.06,490.6,0,-5.229999999999961,-1.054797007038695
04/19/2023,502.0,503.33,493.88,495.16,0,-6.839999999999975,-1.3625498007968078
04/18/2023,499.0,508.1,498.0,501.41,0,2.410000000000025,0.4829659318637325
04/17/2023,486.57,492.257,486.57,489.64,0,3.069999999999993,0.6309472429455152
04/14/2023,489.94,491.5,485.11,487.99,0,-1.9499999999999886,-0.39800791933705937
04/13/2023,486.82,493.51,485.979,492.14,0,5.319999999999993,1.0928063760732905
04/12/2023,482.8,491.25,481.69,488.1,0,5.300000000000011,1.0977630488815269
04/11/2023,496.38,496.75,487.01,487.84,0,-8.54000000000002,-1.720456102179786
04/10/2023,491.77,498.415,491.77,496.75,0,4.980000000000018,1.0126685239034545
04/06/2023,491.47,496.975,489.01,490.17,0,-1.3000000000000114,-0.26451258469489725
04/05/2023,488.0,493.825,487.03,489.99,0,1.990000000000009,0.4077868852459035
04/04/2023,485.59,490.63,484.75,488.54,0,2.9500000000000455,0.6075083918532189
04/03/2023,473.0,487.9004,472.75,486.62,0,13.620000000000005,2.879492600422834
03/31/2023,474.19,475.35,471.03,472.73,0,-1.4599999999999795,-0.3078934604272506
03/30/2023,474.54,475.8,471.73,473.18,0,-1.3600000000000136,-0.28659333249041463
03/29/2023,471.26,474.3,470.68,474.19,0,2.930000000000007,0.6217374697619164
03/28/2023,474.0,475.61,471.16,471.44,0,-2.5600000000000023,-0.5400843881856545
03/27/2023,477.11,477.56,472.41,473.39,0,-3.7200000000000273,-0.779694410094114
03/24/2023,467.9,475.67,467.1484,474.54,0,6.640000000000043,1.4191066467193938
03/23/2023,468.63,470.95,466.5,467.9,0,-0.7300000000000182,-0.1557732112754237
03/22/2023,475.44,476.7699,468.32,468.9,0,-6.5400000000000205,-1.3755678950025283
03/21/2023,478.87,479.25,471.3,474.76,0,-4.110000000000014,-0.8582705118299357
03/20/2023,468.22,477.765,465.21,475.7,0,7.479999999999961,1.5975396181282222
03/17/2023,474.12,474.92,463.29,465.87,0,-8.25,-1.7400658061250316
03/16/2023,470.94,478.05,467.74,473.24,0,2.3000000000000114,0.48838493226313573
03/15/2023,475.0,475.13,464.5707,473.31,0,-1.6899999999999977,-0.35578947368421004
03/14/2023,480.29,481.27,474.87,478.87,0,-1.420000000000016,-0.29565470861354926
03/13/2023,471.87,478.9044,470.795,477.33,0,5.4599999999999795,1.1570983533600314
03/10/2023,475.71,482.3,474.42,475.5,0,-0.20999999999997954,-0.044144541842715004
03/09/2023,483.0,483.26,474.61,475.85,0,-7.149999999999977,-1.4803312629399539
03/08/2023,481.04,487.6403,476.71,479.5,0,-1.5400000000000205,-0.3201396973224722
03/07/2023,481.5,485.09,478.0,478.66,0,-2.839999999999975,-0.589823468328136
03/06/2023,476.82,481.8,476.82,480.17,0,3.3500000000000227,0.7025712008724514
03/03/2023,478.9,479.5361,476.38,477.89,0,-1.009999999999991,-0.21089997911881206
03/02/2023,472.98,479.17,472.97,478.31,0,5.329999999999984,1.1268975432364972
03/01/2023,473.27,477.215,471.29,474.33,0,1.0600000000000023,0.22397363027447387
02/28/2023,477.04,478.53,471.82,474.26,0,-2.7800000000000296,-0.5827603555257482
02/27/2023,480.53,484.1,477.19,479.49,0,-1.0399999999999636,-0.21642769442073623
02/24/2023,479.46,481.8,477.3,480.4,0,0.9399999999999977,0.1960538939640424
02/23/2023,480.0,483.09,475.53,479.08,0,-0.9200000000000159,-0.19166666666666998
02/22/2023,478.81,481.67,477.47,479.53,0,0.7199999999999704,0.15037279923142174
02/21/2023,480.51,482.4,475.2,479.19,0,-1.3199999999999932,-0.27470812261971517
02/17/2023,471.79,475.66,470.84,475.63,0,3.839999999999975,0.8139214481019045
02/16/2023,477.0,477.58,466.1,471.25,0,-5.75,-1.2054507337526206
02/15/2023,480.83,484.2499,477.4,480.51,0,-0.3199999999999932,-0.06655158787929064
02/14/2023,482.45,485.0,479.6636,481.58,0,-0.8700000000000045,-0.18032956783086423
02/13/2023,485.19,489.5,480.1,481.97,0,-3.2199999999999704,-0.6636575362229169
02/10/2023,472.38,481.86,472.38,480.83,0,8.449999999999989,1.7888140903509862
02/09/2023,472.43,474.3407,468.195,470.09,0,-2.340000000000032,-0.49531147471583764
02/08/2023,464.97,471.38,463.32,469.65,0,4.67999999999995,1.0065165494547927
02/07/2023,472.55,472.99,463.1459,468.33,0,-4.220000000000027,-0.893027192889647
02/06/2023,463.58,469.77,462.75,469.1,0,5.520000000000039,1.1907329910695108
02/03/2023,459.27,462.6,454.94,459.08,0,-0.18999999999999773,-0.041370000217736354
02/02/2023,458.37,460.43,453.92,457.19,0,-1.1800000000000068,-0.25743395073848785
02/01/2023,462.51,465.28,459.8,462.25,0,-0.2599999999999909,-0.05621500075673843
01/31/2023,462.28,463.48,459.01,463.26,0,0.9800000000000182,0.211992731677775
01/30/2023,462.0,466.6999,459.9,460.59,0,-1.410000000000025,-0.3051948051948106
01/27/2023,460.86,466.68,457.45,459.6,0,-1.259999999999991,-0.27340190079416543
01/26/2023,455.35,463.76,452.83,459.81,0,4.4599999999999795,0.9794663445701063
01/25/2023,448.0,455.81,444.8401,454.16,0,6.160000000000025,1.3750000000000056
