Date,Open,High,Low,Close,Volume,Daily Change,% Change
06/09/2023,456.45,459.71,454.19,454.26,0,-2.1899999999999977,-0.47978968123562227
06/08/2023,453.74,457.84,452.4,455.47,0,1.7300000000000182,0.38127562039935164
06/07/2023,447.89,454.5,444.25,453.35,0,5.460000000000036,1.2190493201455797
06/06/2023,447.5,449.37,444.175,448.1,0,0.6000000000000227,0.13407821229050787
06/05/2023,446.99,446.99,442.05,445.55,0,-1.4399999999999977,-0.32215485805051514
06/02/2023,441.92,447.13,438.74,443.83,0,1.9099999999999682,0.4322049239681318
06/01/2023,436.77,439.23,433.53,438.51,0,1.740000000000009,0.3983790095473611
05/31/2023,437.81,441.36,434.62,435.49,0,-2.319999999999993,-0.5299102350334605
05/30/2023,434.89,441.12,432.33,438.16,0,3.2700000000000387,0.751914277173547
05/26/2023,432.62,441.51,432.62,438.32,0,5.699999999999989,1.3175535111645298
05/25/2023,438.33,439.95,429.1,433.51,0,-4.819999999999993,-1.09962813405425
05/24/2023,443.03,446.35,441.38,441.44,0,-1.589999999999975,-0.3588921743448469
05/23/2023,441.17,445.87,440.26,443.03,0,1.8599999999999568,0.4216061835573491
05/22/2023,442.09,445.18,438.435,443.07,0,0.9800000000000182,0.22167431970866072
05/19/2023,445.36,446.3,440.79,443.31,0,-2.0500000000000114,-0.4603017783366291
05/18/2023,446.07,446.92,437.75,443.6,0,-2.4699999999999704,-0.5537247517205753
05/17/2023,439.0,448.4,437.58,447.34,0,8.339999999999975,1.8997722095671923
05/16/2023,439.99,440.3445,435.45,435.63,0,-4.360000000000014,-0.9909316120820959
05/15/2023,438.75,440.08,436.0,439.37,0,0.6200000000000045,0.14131054131054235
05/12/2023,437.09,441.8099,434.77,438.76,0,1.670000000000016,0.382072342080582
05/11/2023,438.9,440.31,433.18,435.85,0,-3.0499999999999545,-0.6949191159717373
05/10/2023,443.1,445.0,438.7,443.03,0,-0.07000000000005002,-0.01579778830964794
05/09/2023,443.0,445.09,440.87,442.31,0,-0.6899999999999977,-0.15575620767494305
05/08/2023,448.33,450.95,441.87,442.24,0,-6.089999999999975,-1.3583744117056575
05/05/2023,443.46,448.45,441.93,446.81,0,3.3500000000000227,0.7554232625265014
05/04/2023,443.28,445.275,435.2,442.23,0,-1.0499999999999545,-0.2368706009745431
05/03/2023,447.53,452.28,443.57,443.71,0,-3.819999999999993,-0.8535740620740494
05/02/2023,460.83,460.84,448.58,448.81,0,-12.019999999999982,-2.608337130829152
05/01/2023,461.95,466.0299,459.59,462.72,0,0.7700000000000387,0.16668470613703618
04/28/2023,460.37,461.57,455.525,461.27,0,0.8999999999999773,0.19549492799269658
04/27/2023,452.48,459.675,443.0,457.68,0,5.199999999999989,1.1492220650636467
04/26/2023,462.69,464.3281,449.07,449.09,0,-13.600000000000023,-2.939333030754938
04/25/2023,470.11,470.11,464.42,465.47,0,-4.639999999999986,-0.9870030418412683
04/24/2023,471.16,472.6305,466.5,470.92,0,-0.2400000000000091,-0.050938110196113655
04/21/2023,475.72,475.72,468.83,471.99,0,-3.730000000000018,-0.7840746657697844
04/20/2023,478.4,478.4,472.07,474.18,0,-4.21999999999997,-0.882107023411365
04/19/2023,480.46,482.7909,476.2,477.07,0,-3.3899999999999864,-0.7055738250842913
04/18/2023,475.74,483.4,475.74,479.47,0,3.730000000000018,0.7840417034514688
04/17/2023,472.99,477.68,471.38,474.79,0,1.8000000000000114,0.3805577284932052
04/14/2023,470.55,473.09,468.765,472.57,0,2.019999999999982,0.42928487939644705
04/13/2023,472.0,476.065,469.67,474.16,0,2.160000000000025,0.45762711864407307
04/12/2023,467.43,474.7299,466.03,472.77,0,5.339999999999975,1.1424170464026646
04/11/2023,476.12,476.12,467.525,468.27,0,-7.850000000000023,-1.6487440141140934
04/10/2023,470.98,478.17,470.98,476.54,0,5.560000000000002,1.1805172194148374
04/06/2023,474.68,476.26,468.29,470.39,0,-4.2900000000000205,-0.903766748125057
04/05/2023,467.22,473.6,467.22,470.91,0,3.6899999999999977,0.7897778348529595
04/04/2023,468.73,471.94,465.0,468.1,0,-0.6299999999999955,-0.1344057346446772
04/03/2023,463.3,471.55,462.65,469.19,0,5.889999999999986,1.271314483056332
03/31/2023,462.98,463.32,459.45,461.72,0,-1.259999999999991,-0.2721499848805544
03/30/2023,460.46,462.92,458.5,460.98,0,0.5200000000000387,0.11293054771316481
03/29/2023,459.38,462.58,457.495,461.57,0,2.1899999999999977,0.4767295049849793
03/28/2023,458.31,461.5,457.59,459.0,0,0.6899999999999977,0.15055311906787933
03/27/2023,459.09,459.8,455.18,458.25,0,-0.839999999999975,-0.18297065934783485
03/24/2023,445.08,456.2,443.0,455.25,0,10.170000000000016,2.2849824750606667
03/23/2023,444.01,446.06,440.71,444.44,0,0.4300000000000068,0.09684466566068485
03/22/2023,450.22,452.4,443.085,443.6,0,-6.6200000000000045,-1.4703922526764703
03/21/2023,453.79,454.66,447.07,449.98,0,-3.8100000000000023,-0.8395954075673775
03/20/2023,445.27,452.31,445.005,449.26,0,3.990000000000009,0.8960855211444763
03/17/2023,449.81,450.16,441.305,443.6,0,-6.2099999999999795,-1.3805829127853937
03/16/2023,449.11,455.97,448.0,450.15,0,1.0399999999999636,0.23156910333770425
03/15/2023,448.97,456.38,439.87,448.9,0,-0.07000000000005002,-0.015591242176548548
03/14/2023,457.9,459.98,449.23,453.66,0,-4.239999999999952,-0.9259663682026539
03/13/2023,454.69,462.87,453.715,457.74,0,3.0500000000000114,0.6707866898326358
03/10/2023,458.53,463.19,457.19,459.78,0,1.25,0.272610298126622
03/09/2023,469.63,469.63,458.2,459.04,0,-10.589999999999975,-2.2549666758937836
03/08/2023,472.0,475.63,460.92,465.25,0,-6.75,-1.430084745762712
03/07/2023,470.86,475.97,470.68,472.2,0,1.339999999999975,0.2845856517860882
03/06/2023,466.62,474.4,465.96,470.22,0,3.6000000000000227,0.7715057220007764
03/03/2023,470.18,470.6982,464.52,467.38,0,-2.8000000000000114,-0.5955166106597498
03/02/2023,460.33,468.88,460.33,468.27,0,7.939999999999998,1.7248495644428992
03/01/2023,461.97,465.67,459.25,462.55,0,0.5799999999999841,0.1255492780916475
02/28/2023,470.49,471.74,463.31,464.11,0,-6.3799999999999955,-1.356033071903759
02/27/2023,470.63,474.1,467.37,470.07,0,-0.5600000000000023,-0.11898943968722824
02/24/2023,472.65,478.0,468.55,470.91,0,-1.7399999999999523,-0.36813709933353483
02/23/2023,477.55,482.34,472.705,476.26,0,-1.2900000000000205,-0.27012878232646226
02/22/2023,473.96,481.5,473.95,478.73,0,4.770000000000039,1.0064140433791964
02/21/2023,474.78,479.15,468.57,473.95,0,-0.8299999999999841,-0.17481781035426602
02/17/2023,465.44,470.67,462.78,470.63,0,5.189999999999998,1.115073908559642
02/16/2023,458.21,468.53,456.37,465.35,0,7.140000000000043,1.5582374893607829
02/15/2023,465.92,468.09,458.93,460.94,0,-4.980000000000018,-1.068853021978026
02/14/2023,467.88,470.92,465.87,467.51,0,-0.37000000000000455,-0.07908010601008902
02/13/2023,467.81,470.99,458.99,464.28,0,-3.5300000000000296,-0.7545798507941321
02/10/2023,457.12,464.33,456.43,463.86,0,6.740000000000009,1.4744487224361238
02/09/2023,455.81,461.92,452.4,453.85,0,-1.9599999999999795,-0.43000372962418104
02/08/2023,451.0,456.89,450.35,456.06,0,5.060000000000002,1.1219512195121957
02/07/2023,448.0,454.13,443.49,452.15,0,4.149999999999977,0.9263392857142807
02/06/2023,443.07,453.74,442.97,448.96,0,5.889999999999986,1.329361049044166
02/03/2023,451.0,454.4552,440.02,440.64,0,-10.360000000000014,-2.2971175166297146
02/02/2023,439.44,444.675,436.0,440.86,0,1.420000000000016,0.3231385399599526
02/01/2023,445.45,449.02,442.12,442.59,0,-2.8600000000000136,-0.642047367830287
01/31/2023,441.42,448.07,435.63,448.04,0,6.6200000000000045,1.4997054958995977
01/30/2023,445.01,448.65,436.49,439.28,0,-5.730000000000018,-1.2876115143479963
01/27/2023,433.18,443.9895,430.935,437.65,0,4.46999999999997,1.0319035966572718
01/26/2023,458.0,473.204,438.99,443.47,0,-14.529999999999973,-3.1724890829694266
01/25/2023,457.79,466.0,457.67,463.29,0,5.5,1.201424233819
01/24/2023,452.21,462.99,448.0,459.31,0,7.100000000000023,1.5700670042679337
01/23/2023,451.97,454.48,448.333,450.87,0,-1.1000000000000227,-0.2433789853308898
01/20/2023,445.99,452.3,440.09,450.76,0,4.769999999999982,1.0695307069665199
01/19/2023,448.15,453.0099,442.21,442.31,0,-5.839999999999975,-1.3031351110119325
01/18/2023,453.73,454.08,445.5101,446.06,0,-7.670000000000016,-1.6904326361492552
